RN,REC,DESCR,TOP,BOTTOM,Thickness,Latitude,Longitude,Easting,Northing,Projecti_1
20917,1,CLAY,0,15.8,15.8,-19.743611,147.248611,526047.92,7816871.202,55
20917,2,GOOD COARSE DRIFT 02/06/1969 SWL  -15.80 M TMP NUL C 02/06/1969 DISCH   8736.0 M3D ESTIMAT,15.8,22.2,6.4,-19.743611,147.248611,526047.92,7816871.202,55
20921,1,TOP SOIL,0,3.96,3.96,-19.512192,147.267118,528027.083,7842476.233,55
20921,2,CLAY,3.96,17.07,13.11,-19.512192,147.267118,528027.083,7842476.233,55
20921,3,CLAY SILTY,17.07,17.37,0.3,-19.512192,147.267118,528027.083,7842476.233,55
20921,4,CLAY,17.37,19.81,2.44,-19.512192,147.267118,528027.083,7842476.233,55
20921,5,SAND COARSE AND STONES,19.81,22.86,3.05,-19.512192,147.267118,528027.083,7842476.233,55
20921,6,COARSE DRIFT,22.86,31.09,8.23,-19.512192,147.267118,528027.083,7842476.233,55
20921,7,WEATHERED GRANITE,31.09,32.92,1.83,-19.512192,147.267118,528027.083,7842476.233,55
20922,1,TOP SOIL,0,0.3,0.3,-19.706567,147.231074,524216.073,7820972.989,55
20922,2,BROWN CLAY,0.3,2.44,2.14,-19.706567,147.231074,524216.073,7820972.989,55
20922,3,FINE SAND,2.44,7.62,5.18,-19.706567,147.231074,524216.073,7820972.989,55
20922,4,FINE SAND WITH SILT,7.62,9.14,1.52,-19.706567,147.231074,524216.073,7820972.989,55
20922,5,COARSE SAND,9.14,14.63,5.49,-19.706567,147.231074,524216.073,7820972.989,55
20922,6,"GRAVEL, SAND AND SILT",14.63,21.03,6.4,-19.706567,147.231074,524216.073,7820972.989,55
20922,7,SAND 28/05/1965 SWL -12.80 M TMP NUL C 28/05/1965 DISCH   3276.0 M3D,21.03,21.34,0.31,-19.706567,147.231074,524216.073,7820972.989,55
20923,1,TOP SOIL,0,0.3,0.3,-19.706996,147.266458,527924.188,7820920.088,55
